pm10,so2,co,o3,no2,kategori
75.0,4.0,23.0,51.0,9.0,2.0
35.0,4.0,21.0,34.0,8.0,3.0
57.0,3.0,50.0,35.0,12.0,2.0
40.0,2.0,28.0,32.0,10.0,3.0
51.0,3.0,34.0,34.0,15.0,2.0
62.0,3.0,45.0,44.0,15.0,2.0
52.0,1.0,25.0,48.0,11.0,2.0
41.0,2.0,29.0,33.0,14.0,3.0
69.0,4.0,32.0,36.0,15.0,2.0
53.0,2.0,29.0,37.0,14.0,2.0
70.0,2.0,34.0,59.0,17.0,2.0
45.0,3.0,27.0,135.0,10.0,1.0
25.0,3.0,17.0,192.0,7.0,1.0
36.0,5.0,19.0,195.0,9.0,1.0
31.0,4.0,13.0,210.0,10.0,0.0
23.0,5.0,14.0,111.0,8.0,1.0
29.0,3.0,20.0,150.0,9.0,1.0
28.0,4.0,14.0,170.0,11.0,1.0
17.0,2.0,18.0,92.0,7.0,2.0
24.0,4.0,16.0,76.0,6.0,2.0
44.0,5.0,15.0,53.0,5.0,2.0
35.0,7.0,16.0,140.0,6.0,1.0
26.0,3.0,37.0,154.0,11.0,1.0
31.0,4.0,23.0,171.0,13.0,1.0
29.0,3.0,33.0,154.0,22.0,1.0
40.0,6.0,37.0,159.0,20.0,1.0
51.0,8.0,28.0,186.0,18.0,1.0
48.0,3.0,37.0,202.0,27.0,0.0
70.0,7.0,60.0,110.0,33.0,1.0
29.0,3.0,17.0,152.0,11.0,1.0
49.0,6.0,17.0,170.0,12.0,1.0
37.0,5.0,16.0,195.0,14.0,1.0
36.0,9.0,33.0,139.0,15.0,1.0
32.0,5.0,18.0,135.0,9.0,1.0
37.0,8.0,22.0,155.0,13.0,1.0
50.0,9.0,38.0,144.0,13.0,1.0
32.0,5.0,14.0,122.0,8.0,1.0
35.0,5.0,15.0,195.0,8.0,1.0
48.0,7.0,15.0,184.0,13.0,1.0
29.0,5.0,13.0,151.0,11.0,1.0
56.0,9.0,32.0,195.0,20.0,1.0
32.0,29.0,20.0,30.0,4.0,3.0
19.0,19.0,17.0,59.0,5.0,2.0
48.0,1.0,24.0,52.0,5.0,2.0
14.0,38.0,6.0,30.0,2.0,3.0
18.0,24.0,5.0,26.0,2.0,3.0
19.0,22.0,13.0,24.0,4.0,3.0
18.0,0.0,10.0,25.0,4.0,3.0
11.0,0.0,20.0,23.0,4.0,3.0
12.0,0.0,6.0,24.0,2.0,3.0
11.0,0.0,5.0,21.0,1.0,3.0
15.0,1.0,5.0,24.0,2.0,3.0
19.0,1.0,10.0,42.0,3.0,3.0
18.0,1.0,27.0,48.0,7.0,3.0
18.0,1.0,13.0,40.0,3.0,3.0
21.0,1.0,40.0,44.0,9.0,3.0
22.0,0.0,27.0,49.0,7.0,3.0
40.0,0.0,36.0,39.0,8.0,3.0
22.0,0.0,31.0,47.0,9.0,3.0
45.0,1.0,40.0,56.0,6.0,2.0
38.0,1.0,9.0,52.0,3.0,2.0
32.0,2.0,20.0,49.0,6.0,3.0
40.0,2.0,29.0,53.0,8.0,2.0
24.0,2.0,30.0,37.0,8.0,3.0
16.0,0.0,5.0,42.0,4.0,3.0
27.0,1.0,14.0,35.0,8.0,3.0
26.0,2.0,19.0,55.0,6.0,2.0
29.0,1.0,16.0,46.0,6.0,3.0
23.0,1.0,10.0,44.0,5.0,3.0
30.0,3.0,22.0,46.0,9.0,3.0
19.0,3.0,13.0,54.0,6.0,2.0
34.0,1.0,18.0,89.0,7.0,2.0
57.0,0.0,26.0,73.0,7.0,2.0
35.0,0.0,26.0,64.0,6.0,2.0
58.0,0.0,36.0,45.0,9.0,2.0
39.0,1.0,11.0,56.0,6.0,2.0
53.0,0.0,11.0,38.0,5.0,2.0
32.0,1.0,15.0,32.0,7.0,3.0
28.0,0.0,13.0,32.0,7.0,3.0
33.0,0.0,25.0,31.0,6.0,3.0
21.0,0.0,9.0,32.0,5.0,3.0
23.0,0.0,8.0,26.0,4.0,3.0
39.0,1.0,8.0,31.0,4.0,3.0
38.0,2.0,11.0,50.0,6.0,3.0
37.0,0.0,31.0,70.0,10.0,2.0
34.0,0.0,21.0,53.0,7.0,2.0
53.0,0.0,28.0,42.0,11.0,2.0
54.0,1.0,31.0,76.0,15.0,2.0
59.0,0.0,42.0,45.0,10.0,2.0
48.0,0.0,29.0,60.0,15.0,2.0
73.0,0.0,78.0,70.0,16.0,2.0
39.0,1.0,15.0,60.0,7.0,2.0
55.0,2.0,23.0,56.0,10.0,2.0
61.0,2.0,27.0,66.0,11.0,2.0
50.0,1.0,34.0,48.0,9.0,3.0
29.0,0.0,14.0,60.0,8.0,2.0
43.0,0.0,22.0,48.0,9.0,3.0
50.0,1.0,50.0,68.0,8.0,2.0
51.0,1.0,22.0,55.0,8.0,2.0
37.0,0.0,14.0,57.0,9.0,2.0
59.0,2.0,44.0,59.0,12.0,2.0
55.0,1.0,24.0,70.0,10.0,2.0
74.0,1.0,36.0,101.0,11.0,1.0
82.0,1.0,13.0,38.0,7.0,3.0
20.0,2.0,12.0,30.0,5.0,3.0
61.0,2.0,34.0,27.0,8.0,2.0
28.0,2.0,7.0,26.0,4.0,3.0
26.0,4.0,6.0,31.0,6.0,3.0
26.0,2.0,11.0,21.0,7.0,3.0
